epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6335.11,0.83518,0.80833,1.10287,0.69314,0.56376,0.60636,0.4377,1.09948,1.2224,1.26907,0.00307,0.00307,0.00307
44,6482.5,0.82776,0.78657,1.09465,0.70921,0.54799,0.60643,0.43722,1.09823,1.22515,1.26831,0.002905,0.002905,0.002905
45,6629.66,0.81707,0.77064,1.09181,0.6782,0.56253,0.60506,0.43577,1.09826,1.22837,1.2707,0.00274,0.00274,0.00274
46,6776.89,0.81017,0.7589,1.08489,0.69641,0.55162,0.60355,0.43432,1.10604,1.2338,1.27867,0.002575,0.002575,0.002575
47,6924.04,0.80809,0.75152,1.08523,0.70661,0.54898,0.60058,0.43364,1.10856,1.24007,1.28171,0.00241,0.00241,0.00241
48,7071.25,0.79409,0.7256,1.07886,0.70101,0.54673,0.59902,0.4322,1.10859,1.25161,1.28452,0.002245,0.002245,0.002245
49,7218.47,0.79002,0.72126,1.07717,0.68228,0.56102,0.59832,0.43059,1.10899,1.25595,1.2863,0.00208,0.00208,0.00208
50,7365.73,0.77968,0.70045,1.06998,0.68835,0.56089,0.59871,0.43152,1.11244,1.25763,1.28879,0.001915,0.001915,0.001915
51,7512.92,0.76201,0.58239,1.04072,0.6861,0.55824,0.59924,0.43189,1.11382,1.26651,1.29311,0.00175,0.00175,0.00175
52,7660.11,0.74849,0.55491,1.02814,0.67462,0.56562,0.59652,0.43012,1.11453,1.27897,1.2953,0.001585,0.001585,0.001585
53,7807.19,0.73998,0.5363,1.02124,0.67906,0.55894,0.59599,0.43023,1.11374,1.29144,1.29374,0.00142,0.00142,0.00142
54,7954.32,0.7313,0.52379,1.01697,0.6888,0.549,0.59457,0.42919,1.11384,1.29712,1.29452,0.001255,0.001255,0.001255
55,8101.41,0.7226,0.50717,1.00809,0.69874,0.54306,0.59413,0.42852,1.11637,1.30344,1.2983,0.00109,0.00109,0.00109
56,8248.23,0.712,0.4917,1.00062,0.69724,0.54275,0.59266,0.42806,1.11969,1.31528,1.30038,0.000925,0.000925,0.000925
57,8395.26,0.6993,0.47578,0.99396,0.6723,0.5502,0.59162,0.42788,1.12099,1.32231,1.30203,0.00076,0.00076,0.00076
58,8541.98,0.69633,0.46794,0.99274,0.67772,0.54652,0.5903,0.42665,1.12368,1.33094,1.30556,0.000595,0.000595,0.000595
59,8688.97,0.68543,0.45055,0.98538,0.66855,0.55362,0.58926,0.42625,1.12709,1.3379,1.30911,0.00043,0.00043,0.00043
60,8835.77,0.68056,0.44625,0.98704,0.68316,0.54174,0.58858,0.42557,1.13041,1.34427,1.31128,0.000265,0.000265,0.000265
